sale_id,event_id,customer_id,reseller_id,sale_date,ticket_type,quantity,unit_price,discount_amount,gross_revenue,net_revenue,payment_status,created_at,updated_at
17,19,5,8,2024-11-12,Standard,5,110.0,55.0,550.0,495.0,Refunded,2024-11-12T00:00:00,2024-11-13T00:00:00
18,57,206,,2024-11-17,Standard,3,82.5,24.75,247.5,222.75,Pending,2024-11-17T00:00:00,2024-11-21T00:00:00
19,13,259,6,2024-12-04,Early Bird,5,100.0,0.0,500.0,500.0,Pending,2024-12-04T00:00:00,2024-12-06T00:00:00
20,53,202,1,2024-08-03,VIP,5,120.0,30.0,600.0,570.0,Paid,2024-08-03T00:00:00,2024-08-07T00:00:00
21,24,21,8,2024-06-13,Standard,2,67.5,20.25,135.0,114.75,Paid,2024-06-13T00:00:00,2024-06-14T00:00:00
22,46,264,2,2024-12-12,Premium,4,120.0,72.0,480.0,408.0,Paid,2024-12-12T00:00:00,2024-12-16T00:00:00
23,21,173,9,2024-11-26,Early Bird,4,240.0,96.0,960.0,864.0,Pending,2024-11-26T00:00:00,2024-11-28T00:00:00
24,31,57,10,2024-05-21,Early Bird,1,50.0,5.0,50.0,45.0,Pending,2024-05-21T00:00:00,2024-05-23T00:00:00
25,51,297,4,2024-03-27,Premium,1,120.0,18.0,120.0,102.0,Paid,2024-03-27T00:00:00,2024-03-31T00:00:00
26,31,125,2,2024-08-12,Standard,5,60.0,45.0,300.0,255.0,Pending,2024-08-12T00:00:00,2024-08-17T00:00:00
27,8,78,6,2024-12-22,Early Bird,1,220.0,22.0,220.0,198.0,Paid,2024-12-22T00:00:00,2024-12-25T00:00:00
28,33,266,2,2024-04-29,Premium,5,55.0,0.0,275.0,275.0,Pending,2024-04-29T00:00:00,2024-05-01T00:00:00
29,43,236,2,2024-08-03,VIP,5,82.5,41.25,412.5,371.25,Pending,2024-08-03T00:00:00,2024-08-05T00:00:00
30,44,127,3,2024-08-31,VIP,3,60.0,27.0,180.0,153.0,Pending,2024-08-31T00:00:00,2024-09-02T00:00:00
31,15,246,5,2024-09-29,VIP,3,180.0,81.0,540.0,459.0,Pending,2024-09-29T00:00:00,2024-10-04T00:00:00
32,18,177,6,2024-09-14,Premium,1,120.0,18.0,120.0,102.0,Paid,2024-09-14T00:00:00,2024-09-14T00:00:00
33,19,132,10,2024-10-15,Early Bird,1,100.0,15.0,100.0,85.0,Paid,2024-10-15T00:00:00,2024-10-16T00:00:00
34,53,56,2,2024-08-14,Premium,3,180.0,54.0,540.0,486.0,Paid,2024-08-14T00:00:00,2024-08-14T00:00:00
35,43,52,,2024-06-10,Early Bird,5,67.5,16.88,337.5,320.62,Paid,2024-06-10T00:00:00,2024-06-15T00:00:00
36,31,244,6,2024-08-21,Early Bird,2,40.0,4.0,80.0,76.0,Paid,2024-08-21T00:00:00,2024-08-23T00:00:00
37,21,20,8,2024-11-10,Premium,1,160.0,8.0,160.0,152.0,Refunded,2024-11-10T00:00:00,2024-11-11T00:00:00
38,60,149,2,2024-05-17,Standard,1,165.0,24.75,165.0,140.25,Paid,2024-05-17T00:00:00,2024-05-19T00:00:00
39,37,279,7,2024-05-04,Early Bird,1,250.0,25.0,250.0,225.0,Paid,2024-05-04T00:00:00,2024-05-08T00:00:00
40,30,235,2,2024-12-12,VIP,2,160.0,32.0,320.0,288.0,Paid,2024-12-12T00:00:00,2024-12-12T00:00:00
41,48,208,2,2024-05-27,Early Bird,3,120.0,18.0,360.0,342.0,Pending,2024-05-27T00:00:00,2024-05-29T00:00:00
42,6,166,7,2024-10-15,Premium,1,45.0,2.25,45.0,42.75,Paid,2024-10-15T00:00:00,2024-10-17T00:00:00
43,25,299,4,2024-06-19,Standard,4,200.0,80.0,800.0,720.0,Paid,2024-06-19T00:00:00,2024-06-24T00:00:00
44,24,158,7,2024-06-21,Premium,2,60.0,0.0,120.0,120.0,Refunded,2024-06-21T00:00:00,2024-06-26T00:00:00
45,33,114,5,2024-04-10,Premium,3,40.0,12.0,120.0,108.0,Paid,2024-04-10T00:00:00,2024-04-13T00:00:00
46,10,242,8,2024-06-22,Premium,5,250.0,187.5,1250.0,1062.5,Paid,2024-06-22T00:00:00,2024-06-27T00:00:00
47,49,186,8,2024-11-05,Standard,1,120.0,18.0,120.0,102.0,Pending,2024-11-05T00:00:00,2024-11-05T00:00:00
48,4,275,9,2024-03-26,Premium,5,180.0,45.0,900.0,855.0,Paid,2024-03-26T00:00:00,2024-03-28T00:00:00
49,55,251,9,2024-10-15,Standard,4,120.0,24.0,480.0,456.0,Pending,2024-10-15T00:00:00,2024-10-18T00:00:00
50,52,289,7,2024-09-14,Standard,4,135.0,81.0,540.0,459.0,Pending,2024-09-14T00:00:00,2024-09-17T00:00:00
51,44,2,4,2024-08-26,Premium,3,40.0,18.0,120.0,102.0,Pending,2024-08-26T00:00:00,2024-08-26T00:00:00
52,3,242,1,2024-11-03,Standard,3,120.0,0.0,360.0,360.0,Paid,2024-11-03T00:00:00,2024-11-06T00:00:00
53,12,230,6,2024-10-31,Early Bird,2,165.0,33.0,330.0,297.0,Refunded,2024-10-31T00:00:00,2024-10-31T00:00:00
54,44,92,1,2024-09-14,Early Bird,5,45.0,22.5,225.0,202.5,Pending,2024-09-14T00:00:00,2024-09-15T00:00:00
55,47,279,7,2024-12-21,Early Bird,1,160.0,16.0,160.0,144.0,Pending,2024-12-21T00:00:00,2024-12-24T00:00:00
56,53,142,2,2024-09-22,Premium,2,165.0,33.0,330.0,297.0,Paid,2024-09-22T00:00:00,2024-09-22T00:00:00
57,52,106,3,2024-06-29,Standard,4,180.0,0.0,720.0,720.0,Paid,2024-06-29T00:00:00,2024-07-03T00:00:00
58,3,206,,2024-10-31,Early Bird,5,120.0,30.0,600.0,570.0,Paid,2024-10-31T00:00:00,2024-11-04T00:00:00
59,14,295,3,2024-04-04,VIP,1,45.0,4.5,45.0,40.5,Pending,2024-04-04T00:00:00,2024-04-08T00:00:00
60,50,267,2,2024-09-29,Premium,3,45.0,13.5,135.0,121.5,Refunded,2024-09-29T00:00:00,2024-10-01T00:00:00
61,18,219,10,2024-10-13,Early Bird,5,120.0,30.0,600.0,570.0,Paid,2024-10-13T00:00:00,2024-10-15T00:00:00
62,42,210,6,2024-08-23,Premium,4,60.0,24.0,240.0,216.0,Paid,2024-08-23T00:00:00,2024-08-26T00:00:00
63,12,154,3,2024-11-02,Premium,5,165.0,41.25,825.0,783.75,Refunded,2024-11-02T00:00:00,2024-11-02T00:00:00
64,36,125,6,2024-12-07,VIP,4,240.0,48.0,960.0,912.0,Paid,2024-12-07T00:00:00,2024-12-09T00:00:00
65,42,98,8,2024-11-06,Standard,4,50.0,0.0,200.0,200.0,Paid,2024-11-06T00:00:00,2024-11-09T00:00:00
66,44,287,3,2024-09-21,Premium,5,40.0,0.0,200.0,200.0,Refunded,2024-09-21T00:00:00,2024-09-22T00:00:00
67,56,98,3,2024-03-23,Standard,3,50.0,0.0,150.0,150.0,Refunded,2024-03-23T00:00:00,2024-03-24T00:00:00
68,45,165,8,2024-07-09,VIP,2,165.0,16.5,330.0,313.5,Refunded,2024-07-09T00:00:00,2024-07-12T00:00:00
69,35,263,5,2024-12-02,Early Bird,3,50.0,15.0,150.0,135.0,Refunded,2024-12-02T00:00:00,2024-12-02T00:00:00
70,52,161,5,2024-06-21,Early Bird,4,150.0,30.0,600.0,570.0,Paid,2024-06-21T00:00:00,2024-06-25T00:00:00
71,56,300,8,2024-06-19,Early Bird,2,40.0,8.0,80.0,72.0,Paid,2024-06-19T00:00:00,2024-06-20T00:00:00
72,13,282,7,2024-12-08,VIP,2,110.0,11.0,220.0,209.0,Paid,2024-12-08T00:00:00,2024-12-11T00:00:00
73,47,87,5,2024-10-28,Premium,4,220.0,44.0,880.0,836.0,Pending,2024-10-28T00:00:00,2024-10-31T00:00:00
74,12,25,1,2024-10-12,Standard,5,120.0,0.0,600.0,600.0,Refunded,2024-10-12T00:00:00,2024-10-13T00:00:00
75,54,112,,2024-10-30,Early Bird,2,160.0,16.0,320.0,304.0,Paid,2024-10-30T00:00:00,2024-10-30T00:00:00
76,40,4,,2024-08-19,Early Bird,5,55.0,41.25,275.0,233.75,Paid,2024-08-19T00:00:00,2024-08-19T00:00:00
77,34,258,,2024-07-09,Early Bird,3,90.0,27.0,270.0,243.0,Paid,2024-07-09T00:00:00,2024-07-09T00:00:00
78,59,270,3,2024-10-28,VIP,5,135.0,33.75,675.0,641.25,Paid,2024-10-28T00:00:00,2024-10-30T00:00:00
79,51,290,7,2024-05-31,Premium,1,100.0,15.0,100.0,85.0,Paid,2024-05-31T00:00:00,2024-06-02T00:00:00
80,44,195,6,2024-08-24,Early Bird,1,40.0,0.0,40.0,40.0,Pending,2024-08-24T00:00:00,2024-08-27T00:00:00
81,4,223,7,2024-04-20,VIP,1,135.0,0.0,135.0,135.0,Pending,2024-04-20T00:00:00,2024-04-20T00:00:00
82,58,244,9,2024-08-03,VIP,1,225.0,11.25,225.0,213.75,Paid,2024-08-03T00:00:00,2024-08-03T00:00:00
83,44,162,2,2024-08-11,Standard,3,60.0,0.0,180.0,180.0,Paid,2024-08-11T00:00:00,2024-08-15T00:00:00
84,10,289,2,2024-05-15,Premium,4,200.0,80.0,800.0,720.0,Pending,2024-05-15T00:00:00,2024-05-18T00:00:00
85,44,41,2,2024-08-15,VIP,5,50.0,37.5,250.0,212.5,Paid,2024-08-15T00:00:00,2024-08-15T00:00:00
86,28,16,5,2024-07-31,VIP,1,200.0,30.0,200.0,170.0,Refunded,2024-07-31T00:00:00,2024-08-03T00:00:00
87,15,300,2,2024-09-22,Early Bird,5,220.0,165.0,1100.0,935.0,Paid,2024-09-22T00:00:00,2024-09-26T00:00:00
88,19,79,4,2024-10-04,Early Bird,2,80.0,0.0,160.0,160.0,Paid,2024-10-04T00:00:00,2024-10-09T00:00:00
89,25,158,,2024-06-09,Early Bird,3,160.0,0.0,480.0,480.0,Paid,2024-06-09T00:00:00,2024-06-11T00:00:00
90,7,286,7,2024-11-11,Early Bird,1,90.0,13.5,90.0,76.5,Paid,2024-11-11T00:00:00,2024-11-11T00:00:00
91,6,7,6,2024-10-21,VIP,5,40.0,20.0,200.0,180.0,Refunded,2024-10-21T00:00:00,2024-10-24T00:00:00
92,50,195,10,2024-12-14,Premium,5,45.0,11.25,225.0,213.75,Paid,2024-12-14T00:00:00,2024-12-16T00:00:00
93,20,223,2,2024-11-16,VIP,4,90.0,0.0,360.0,360.0,Refunded,2024-11-16T00:00:00,2024-11-18T00:00:00
94,31,254,3,2024-05-25,Premium,1,50.0,5.0,50.0,45.0,Refunded,2024-05-25T00:00:00,2024-05-25T00:00:00
95,9,195,9,2024-12-07,VIP,1,55.0,5.5,55.0,49.5,Refunded,2024-12-07T00:00:00,2024-12-09T00:00:00
96,28,103,5,2024-05-17,Early Bird,5,180.0,90.0,900.0,810.0,Paid,2024-05-17T00:00:00,2024-05-18T00:00:00
97,26,193,5,2024-08-15,VIP,3,82.5,12.38,247.5,235.12,Refunded,2024-08-15T00:00:00,2024-08-17T00:00:00
98,8,282,10,2024-09-18,Standard,5,180.0,45.0,900.0,855.0,Refunded,2024-09-18T00:00:00,2024-09-23T00:00:00
99,14,256,10,2024-05-14,Premium,3,40.0,18.0,120.0,102.0,Paid,2024-05-14T00:00:00,2024-05-15T00:00:00
100,17,230,1,2024-11-07,Early Bird,2,82.5,24.75,165.0,140.25,Pending,2024-11-07T00:00:00,2024-11-10T00:00:00
101,35,275,5,2024-12-21,Standard,4,60.0,0.0,240.0,240.0,Paid,2024-12-21T00:00:00,2024-12-22T00:00:00
102,43,205,9,2024-07-10,VIP,3,67.5,0.0,202.5,202.5,Refunded,2024-07-10T00:00:00,2024-07-10T00:00:00
103,1,192,7,2024-09-27,Early Bird,3,67.5,10.12,202.5,192.38,Refunded,2024-09-27T00:00:00,2024-10-02T00:00:00
104,38,248,,2024-07-20,Standard,5,67.5,33.75,337.5,303.75,Paid,2024-07-20T00:00:00,2024-07-23T00:00:00
105,59,176,4,2024-10-30,Early Bird,1,135.0,13.5,135.0,121.5,Paid,2024-10-30T00:00:00,2024-11-03T00:00:00
106,31,164,7,2024-07-20,Standard,4,40.0,24.0,160.0,136.0,Paid,2024-07-20T00:00:00,2024-07-20T00:00:00
107,52,56,10,2024-06-23,Premium,1,120.0,12.0,120.0,108.0,Paid,2024-06-23T00:00:00,2024-06-27T00:00:00
108,12,119,7,2024-11-28,Early Bird,2,150.0,45.0,300.0,255.0,Paid,2024-11-28T00:00:00,2024-11-29T00:00:00
109,41,102,9,2024-06-07,Early Bird,4,110.0,0.0,440.0,440.0,Pending,2024-06-07T00:00:00,2024-06-10T00:00:00
110,25,296,1,2024-07-19,Standard,2,180.0,36.0,360.0,324.0,Pending,2024-07-19T00:00:00,2024-07-20T00:00:00
111,24,251,4,2024-08-07,VIP,2,82.5,0.0,165.0,165.0,Pending,2024-08-07T00:00:00,2024-08-10T00:00:00
112,40,235,5,2024-09-19,Premium,5,40.0,20.0,200.0,180.0,Paid,2024-09-19T00:00:00,2024-09-23T00:00:00
113,38,157,3,2024-10-06,Standard,2,75.0,0.0,150.0,150.0,Paid,2024-10-06T00:00:00,2024-10-08T00:00:00
114,45,71,9,2024-09-06,Early Bird,5,165.0,123.75,825.0,701.25,Refunded,2024-09-06T00:00:00,2024-09-07T00:00:00
115,32,148,7,2024-08-20,Premium,5,135.0,33.75,675.0,641.25,Paid,2024-08-20T00:00:00,2024-08-22T00:00:00
116,54,249,,2024-11-22,Premium,5,160.0,80.0,800.0,720.0,Paid,2024-11-22T00:00:00,2024-11-25T00:00:00
117,36,228,6,2024-11-25,Early Bird,4,220.0,132.0,880.0,748.0,Paid,2024-11-25T00:00:00,2024-11-25T00:00:00
118,37,116,4,2024-07-17,VIP,2,250.0,0.0,500.0,500.0,Paid,2024-07-17T00:00:00,2024-07-20T00:00:00
119,37,59,9,2024-04-16,VIP,4,300.0,0.0,1200.0,1200.0,Pending,2024-04-16T00:00:00,2024-04-18T00:00:00
120,35,53,6,2024-11-10,Premium,1,55.0,2.75,55.0,52.25,Paid,2024-11-10T00:00:00,2024-11-10T00:00:00
121,29,122,1,2024-12-21,Premium,3,120.0,54.0,360.0,306.0,Pending,2024-12-21T00:00:00,2024-12-26T00:00:00
122,23,72,9,2024-09-17,Premium,5,110.0,27.5,550.0,522.5,Paid,2024-09-17T00:00:00,2024-09-17T00:00:00
123,37,150,5,2024-06-06,VIP,5,250.0,62.5,1250.0,1187.5,Pending,2024-06-06T00:00:00,2024-06-08T00:00:00
124,55,142,,2024-10-16,Premium,1,135.0,20.25,135.0,114.75,Paid,2024-10-16T00:00:00,2024-10-17T00:00:00
125,10,73,7,2024-05-20,VIP,3,225.0,101.25,675.0,573.75,Refunded,2024-05-20T00:00:00,2024-05-23T00:00:00
126,29,233,5,2025-01-14,Early Bird,1,165.0,16.5,165.0,148.5,Paid,2025-01-14T00:00:00,2025-01-18T00:00:00
127,1,274,1,2024-06-20,Early Bird,1,82.5,8.25,82.5,74.25,Paid,2024-06-20T00:00:00,2024-06-23T00:00:00
128,53,173,4,2024-09-24,Premium,4,150.0,60.0,600.0,540.0,Pending,2024-09-24T00:00:00,2024-09-27T00:00:00
129,51,236,10,2024-06-07,Standard,1,80.0,0.0,80.0,80.0,Paid,2024-06-07T00:00:00,2024-06-08T00:00:00
130,29,155,2,2024-11-26,Premium,1,165.0,8.25,165.0,156.75,Paid,2024-11-26T00:00:00,2024-11-26T00:00:00
131,42,85,10,2024-10-01,Standard,3,40.0,12.0,120.0,108.0,Refunded,2024-10-01T00:00:00,2024-10-06T00:00:00
132,20,1,1,2024-09-19,Premium,2,110.0,0.0,220.0,220.0,Refunded,2024-09-19T00:00:00,2024-09-19T00:00:00
133,9,5,,2024-10-31,VIP,2,60.0,18.0,120.0,102.0,Paid,2024-10-31T00:00:00,2024-11-03T00:00:00
134,45,46,6,2024-09-08,Standard,4,120.0,24.0,480.0,456.0,Paid,2024-09-08T00:00:00,2024-09-10T00:00:00
135,24,74,2,2024-05-28,Standard,3,67.5,30.38,202.5,172.12,Pending,2024-05-28T00:00:00,2024-06-01T00:00:00
136,1,78,3,2024-07-23,Early Bird,2,82.5,16.5,165.0,148.5,Pending,2024-07-23T00:00:00,2024-07-28T00:00:00
137,29,64,2,2024-10-05,Early Bird,2,120.0,0.0,240.0,240.0,Paid,2024-10-05T00:00:00,2024-10-08T00:00:00
138,21,44,10,2024-09-06,Premium,2,180.0,36.0,360.0,324.0,Pending,2024-09-06T00:00:00,2024-09-10T00:00:00
139,39,155,10,2024-10-19,Premium,5,200.0,0.0,1000.0,1000.0,Pending,2024-10-19T00:00:00,2024-10-23T00:00:00
140,33,254,3,2024-07-13,Early Bird,4,50.0,0.0,200.0,200.0,Paid,2024-07-13T00:00:00,2024-07-14T00:00:00
141,32,163,5,2024-08-20,Premium,5,120.0,0.0,600.0,600.0,Refunded,2024-08-20T00:00:00,2024-08-24T00:00:00
142,27,9,1,2024-11-28,Standard,5,90.0,67.5,450.0,382.5,Paid,2024-11-28T00:00:00,2024-11-30T00:00:00
143,14,257,10,2024-07-04,Early Bird,1,55.0,5.5,55.0,49.5,Refunded,2024-07-04T00:00:00,2024-07-09T00:00:00
144,26,43,4,2024-09-14,VIP,5,90.0,22.5,450.0,427.5,Paid,2024-09-14T00:00:00,2024-09-18T00:00:00
145,59,34,6,2024-10-14,VIP,2,180.0,36.0,360.0,324.0,Refunded,2024-10-14T00:00:00,2024-10-19T00:00:00
146,55,60,6,2024-11-20,Early Bird,1,135.0,0.0,135.0,135.0,Pending,2024-11-20T00:00:00,2024-11-24T00:00:00
147,4,6,2,2024-06-01,Premium,2,120.0,0.0,240.0,240.0,Refunded,2024-06-01T00:00:00,2024-06-03T00:00:00
148,34,138,2,2024-08-04,Standard,3,67.5,20.25,202.5,182.25,Paid,2024-08-04T00:00:00,2024-08-06T00:00:00
149,52,296,4,2024-07-29,Standard,3,180.0,0.0,540.0,540.0,Refunded,2024-07-29T00:00:00,2024-08-01T00:00:00
150,33,81,5,2024-06-21,VIP,1,55.0,2.75,55.0,52.25,Paid,2024-06-21T00:00:00,2024-06-25T00:00:00
151,44,7,,2024-09-06,Premium,1,45.0,0.0,45.0,45.0,Paid,2024-09-06T00:00:00,2024-09-09T00:00:00
152,24,215,8,2024-07-30,Premium,2,67.5,0.0,135.0,135.0,Paid,2024-07-30T00:00:00,2024-07-31T00:00:00
153,27,191,9,2024-09-18,Standard,3,100.0,0.0,300.0,300.0,Pending,2024-09-18T00:00:00,2024-09-23T00:00:00
154,58,36,6,2024-10-03,Early Bird,2,225.0,0.0,450.0,450.0,Paid,2024-10-03T00:00:00,2024-10-05T00:00:00
155,21,103,5,2024-12-05,VIP,5,220.0,0.0,1100.0,1100.0,Pending,2024-12-05T00:00:00,2024-12-07T00:00:00
156,48,253,9,2024-04-21,Premium,2,110.0,22.0,220.0,198.0,Pending,2024-04-21T00:00:00,2024-04-22T00:00:00
157,10,178,8,2024-08-19,Standard,4,200.0,40.0,800.0,760.0,Paid,2024-08-19T00:00:00,2024-08-19T00:00:00
158,49,272,3,2024-10-28,Premium,4,100.0,0.0,400.0,400.0,Refunded,2024-10-28T00:00:00,2024-10-31T00:00:00
159,4,267,3,2024-06-22,Early Bird,3,120.0,0.0,360.0,360.0,Paid,2024-06-22T00:00:00,2024-06-25T00:00:00
160,48,202,10,2024-06-29,Standard,5,80.0,20.0,400.0,380.0,Pending,2024-06-29T00:00:00,2024-07-03T00:00:00
161,4,162,4,2024-05-16,Early Bird,2,135.0,27.0,270.0,243.0,Paid,2024-05-16T00:00:00,2024-05-18T00:00:00
162,29,300,2,2024-12-20,Standard,2,120.0,12.0,240.0,228.0,Paid,2024-12-20T00:00:00,2024-12-20T00:00:00
163,11,275,1,2024-11-13,VIP,4,250.0,150.0,1000.0,850.0,Paid,2024-11-13T00:00:00,2024-11-16T00:00:00
164,20,156,2,2024-10-22,Standard,3,80.0,0.0,240.0,240.0,Paid,2024-10-22T00:00:00,2024-10-24T00:00:00
165,10,26,8,2024-08-08,VIP,2,250.0,75.0,500.0,425.0,Paid,2024-08-08T00:00:00,2024-08-09T00:00:00
166,2,237,1,2024-07-23,Standard,4,90.0,18.0,360.0,342.0,Paid,2024-07-23T00:00:00,2024-07-23T00:00:00
167,1,191,6,2024-10-02,Standard,2,67.5,6.75,135.0,128.25,Pending,2024-10-02T00:00:00,2024-10-06T00:00:00
168,17,228,3,2024-10-05,Premium,1,60.0,0.0,60.0,60.0,Paid,2024-10-05T00:00:00,2024-10-07T00:00:00
169,8,222,9,2025-01-10,Early Bird,4,160.0,32.0,640.0,608.0,Refunded,2025-01-10T00:00:00,2025-01-10T00:00:00
170,25,96,3,2024-04-23,VIP,4,180.0,72.0,720.0,648.0,Paid,2024-04-23T00:00:00,2024-04-26T00:00:00
171,57,152,10,2024-12-01,Early Bird,1,90.0,4.5,90.0,85.5,Refunded,2024-12-01T00:00:00,2024-12-05T00:00:00
172,31,215,2,2024-08-26,Premium,1,50.0,7.5,50.0,42.5,Pending,2024-08-26T00:00:00,2024-08-27T00:00:00
173,41,246,5,2024-05-20,Early Bird,5,80.0,60.0,400.0,340.0,Paid,2024-05-20T00:00:00,2024-05-24T00:00:00
174,33,164,,2024-06-26,Premium,4,50.0,10.0,200.0,190.0,Paid,2024-06-26T00:00:00,2024-06-28T00:00:00
175,4,120,9,2024-03-29,Premium,4,180.0,72.0,720.0,648.0,Paid,2024-03-29T00:00:00,2024-03-30T00:00:00
176,43,295,3,2024-09-03,Early Bird,3,90.0,0.0,270.0,270.0,Paid,2024-09-03T00:00:00,2024-09-04T00:00:00
177,12,15,9,2025-01-07,VIP,5,150.0,75.0,750.0,675.0,Pending,2025-01-07T00:00:00,2025-01-11T00:00:00
178,10,252,2,2024-06-08,Standard,2,275.0,55.0,550.0,495.0,Paid,2024-06-08T00:00:00,2024-06-08T00:00:00
179,15,170,,2024-08-21,Premium,2,160.0,48.0,320.0,272.0,Paid,2024-08-21T00:00:00,2024-08-23T00:00:00
180,46,73,2,2025-01-01,Standard,3,80.0,0.0,240.0,240.0,Pending,2025-01-01T00:00:00,2025-01-03T00:00:00
181,5,155,5,2024-11-11,VIP,4,120.0,0.0,480.0,480.0,Paid,2024-11-11T00:00:00,2024-11-12T00:00:00
182,47,183,8,2024-11-24,Premium,4,200.0,40.0,800.0,760.0,Pending,2024-11-24T00:00:00,2024-11-25T00:00:00
183,25,294,,2024-06-10,Early Bird,3,180.0,27.0,540.0,513.0,Pending,2024-06-10T00:00:00,2024-06-10T00:00:00
184,12,290,10,2024-11-21,Standard,3,180.0,27.0,540.0,513.0,Refunded,2024-11-21T00:00:00,2024-11-22T00:00:00
185,22,86,5,2024-06-14,Standard,1,225.0,22.5,225.0,202.5,Paid,2024-06-14T00:00:00,2024-06-17T00:00:00
186,1,132,5,2024-09-06,Standard,2,67.5,0.0,135.0,135.0,Paid,2024-09-06T00:00:00,2024-09-06T00:00:00
187,25,194,7,2024-05-24,VIP,4,180.0,108.0,720.0,612.0,Pending,2024-05-24T00:00:00,2024-05-27T00:00:00
188,7,232,2,2024-08-13,Standard,4,120.0,24.0,480.0,456.0,Paid,2024-08-13T00:00:00,2024-08-15T00:00:00
189,2,88,5,2024-08-03,Early Bird,3,60.0,0.0,180.0,180.0,Paid,2024-08-03T00:00:00,2024-08-08T00:00:00
190,5,221,,2024-10-19,Premium,1,100.0,15.0,100.0,85.0,Pending,2024-10-19T00:00:00,2024-10-22T00:00:00
191,11,210,3,2025-01-03,VIP,1,250.0,12.5,250.0,237.5,Paid,2025-01-03T00:00:00,2025-01-05T00:00:00
192,16,28,2,2024-09-08,VIP,1,55.0,8.25,55.0,46.75,Paid,2024-09-08T00:00:00,2024-09-11T00:00:00
193,6,14,1,2024-10-29,Premium,5,55.0,13.75,275.0,261.25,Paid,2024-10-29T00:00:00,2024-11-03T00:00:00
194,19,242,6,2025-01-04,Early Bird,4,80.0,32.0,320.0,288.0,Paid,2025-01-04T00:00:00,2025-01-04T00:00:00
195,42,190,6,2024-09-08,Premium,4,45.0,18.0,180.0,162.0,Refunded,2024-09-08T00:00:00,2024-09-08T00:00:00
196,17,289,4,2024-12-05,Standard,4,75.0,15.0,300.0,285.0,Paid,2024-12-05T00:00:00,2024-12-10T00:00:00
197,43,117,9,2024-09-21,Standard,1,75.0,11.25,75.0,63.75,Refunded,2024-09-21T00:00:00,2024-09-25T00:00:00
198,27,154,7,2024-11-06,Standard,4,120.0,24.0,480.0,456.0,Refunded,2024-11-06T00:00:00,2024-11-11T00:00:00
199,3,230,1,2024-10-24,Premium,5,180.0,45.0,900.0,855.0,Paid,2024-10-24T00:00:00,2024-10-25T00:00:00
200,52,223,1,2024-08-28,Premium,2,120.0,36.0,240.0,204.0,Paid,2024-08-28T00:00:00,2024-09-01T00:00:00
201,17,204,8,2024-12-21,VIP,1,60.0,9.0,60.0,51.0,Paid,2024-12-21T00:00:00,2024-12-25T00:00:00
202,30,213,1,2024-09-20,Premium,1,240.0,36.0,240.0,204.0,Paid,2024-09-20T00:00:00,2024-09-24T00:00:00
203,38,275,4,2024-08-03,VIP,1,60.0,0.0,60.0,60.0,Refunded,2024-08-03T00:00:00,2024-08-05T00:00:00
204,25,89,,2024-04-27,VIP,4,240.0,144.0,960.0,816.0,Refunded,2024-04-27T00:00:00,2024-04-28T00:00:00
